dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
2337,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2/1/11,,2008,1439,1439,0,0,,,yes, ,yes, , , ,,,,4/11/12 18:51,5/10/13 16:29,,,,,5/11/12 19:00,5/31/15 2:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
2345,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,1748,1010,738,0,,,yes, ,yes, ,yes,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2/1/11,,2008,2075,2075,0,0,,,yes, ,yes,yes, ,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,4/22/14 0:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,,yes,,yes,,,
2575,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,1439,1439,0,0,,,yes, ,yes,yes, ,yes,,,,4/11/12 18:57,5/10/13 16:29,,,,,11/9/12 0:00,5/31/15 3:59,yes,,,,,,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
2638,yes,Town Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2008,1970,1013,957,0,0,0,yes, ,yes,yes, ,yes,,,,4/12/12 9:52,5/10/13 16:29,,,,,5/11/12 1:00,5/31/15 2:59,yes,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
2645,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,2075,2075,0,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,2020,1074,946,0,,,yes, ,yes,yes, , ,,,,4/11/12 18:59,5/10/13 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2/1/11,,2009,1842,1379,463,0,,,yes,yes,yes,yes,yes,yes,,4/4/14 9:23,5/31/15 2:59,4/11/12 18:59,5/10/13 16:25,,,,,5/14/12 19:00,5/31/15 2:50,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,yes,,yes,yes,,,,,yes,yes,,,,,,,,,yes,,yes,,,,,,,,,,,yes,,yes,,,yes,,,,,
2818,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2007,2345,1385,960,0,,,yes, ,yes, , ,yes,,,,4/11/12 18:45,5/10/13 16:28,,,,,10/20/12 19:00,5/31/15 2:59,yes,,,,,yes,,yes,yes,,,,,yes,,,,yes,,,yes,,yes,,,,yes,yes,,,,,,,yes,,yes,yes,,,,,,,yes,,,,yes,,,,,,,yes,,,,yes,yes,,yes,,,
2859,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,1252,1252,0,0,,,yes, ,yes,yes,yes,yes,,,,4/11/12 18:59,5/10/13 16:27,,,,,5/29/14 0:00,5/31/15 3:59,yes,,,,,yes,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,,yes,,,,,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,,,yes,,yes,,yes,yes,,,,,
2945,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2007,1720,1720,0,0,,,yes, , , , , ,,,,4/11/12 18:59,2/6/14 22:43,5/1/12 13:00,58:14.4,,,5/15/12 19:00,5/31/15 3:59,yes,,,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,yes,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
